___November_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        1.8625
 162   1  143.00  -89.00        1.8625
 163   1  145.00  -89.00        1.8625
 164   1  147.00  -89.00        1.8625
 165   1  149.00  -89.00        1.8625
 166   1  151.00  -89.00        1.8625
 167   1  153.00  -89.00        1.8625
 168   1  155.00  -89.00        1.8625
 169   1  157.00  -89.00        1.8625
 170   1  159.00  -89.00        1.8625
 171   1  161.00  -89.00        1.8625
 172   1  163.00  -89.00        1.8625
 173   1  165.00  -89.00        1.8625
 174   1  167.00  -89.00        1.8625
 175   1  169.00  -89.00        1.8625
 176   1  171.00  -89.00        1.8625
 177   1  173.00  -89.00        1.8625
 178   1  175.00  -89.00        1.8625
 179   1  177.00  -89.00        1.8625
 180   1  179.00  -89.00        1.8625
   1   2 -179.00  -87.00        1.8625
   2   2 -177.00  -87.00        1.8625
   3   2 -175.00  -87.00        1.8625
   4   2 -173.00  -87.00        1.8625
   5   2 -171.00  -87.00        1.8625
   6   2 -169.00  -87.00        1.8625
   7   2 -167.00  -87.00        1.8625
   8   2 -165.00  -87.00        1.8625
   9   2 -163.00  -87.00        1.8625
  10   2 -161.00  -87.00        1.8625
  11   2 -159.00  -87.00        1.8625
  12   2 -157.00  -87.00        1.8625
  13   2 -155.00  -87.00        1.8625
  14   2 -153.00  -87.00        1.8625
  15   2 -151.00  -87.00        1.8625
  16   2 -149.00  -87.00        1.8625
  17   2 -147.00  -87.00        1.8625
  18   2 -145.00  -87.00        1.8625
  19   2 -143.00  -87.00        1.8625
  20   2 -141.00  -87.00        1.8625
  21   2 -139.00  -87.00        1.8625
  22   2 -137.00  -87.00        1.8625
  23   2 -135.00  -87.00        1.8625
  24   2 -133.00  -87.00        1.8625
  25   2 -131.00  -87.00        1.8625
  26   2 -129.00  -87.00        1.8625
  27   2 -127.00  -87.00        1.8625
  28   2 -125.00  -87.00        1.8625
  29   2 -123.00  -87.00        1.8625
  30   2 -121.00  -87.00        1.8625
  31   2 -119.00  -87.00        1.8625
  32   2 -117.00  -87.00        1.8625
  33   2 -115.00  -87.00        1.8625
  34   2 -113.00  -87.00        1.8625
  35   2 -111.00  -87.00        1.8625
  36   2 -109.00  -87.00        1.8625
  37   2 -107.00  -87.00        1.8625
  38   2 -105.00  -87.00        1.8625
  39   2 -103.00  -87.00        1.8625
  40   2 -101.00  -87.00        1.8625
  41   2  -99.00  -87.00        1.8625
  42   2  -97.00  -87.00        1.8625
  43   2  -95.00  -87.00        1.8625
  44   2  -93.00  -87.00        1.8625
  45   2  -91.00  -87.00        1.8625
  46   2  -89.00  -87.00        1.8625
  47   2  -87.00  -87.00        1.8625
  48   2  -85.00  -87.00        1.8625
  49   2  -83.00  -87.00        1.8625
  50   2  -81.00  -87.00        1.8625
  51   2  -79.00  -87.00        1.8625
  52   2  -77.00  -87.00        1.8625
  53   2  -75.00  -87.00        1.8625
  54   2  -73.00  -87.00        1.8625
  55   2  -71.00  -87.00        1.8625
  56   2  -69.00  -87.00        1.8625
  57   2  -67.00  -87.00        1.8625
  58   2  -65.00  -87.00        1.8625
  59   2  -63.00  -87.00        1.8625
  60   2  -61.00  -87.00        1.8625
  61   2  -59.00  -87.00        1.8625
  62   2  -57.00  -87.00        1.8625
  63   2  -55.00  -87.00        1.8625
  64   2  -53.00  -87.00        1.8625
  65   2  -51.00  -87.00        1.8625
  66   2  -49.00  -87.00        1.8625
  67   2  -47.00  -87.00        1.8625
  68   2  -45.00  -87.00        1.8625
  69   2  -43.00  -87.00        1.8625
  70   2  -41.00  -87.00        1.8625
  71   2  -39.00  -87.00        1.8625
  72   2  -37.00  -87.00        1.8625
  73   2  -35.00  -87.00        1.8625
  74   2  -33.00  -87.00        1.8625
  75   2  -31.00  -87.00        1.8625
  76   2  -29.00  -87.00        1.8625
  77   2  -27.00  -87.00        1.8625
  78   2  -25.00  -87.00        1.8625
  79   2  -23.00  -87.00        1.8625
  80   2  -21.00  -87.00        1.8625
  81   2  -19.00  -87.00        1.8625
  82   2  -17.00  -87.00        1.8625
  83   2  -15.00  -87.00        1.8625
  84   2  -13.00  -87.00        1.8625
  85   2  -11.00  -87.00        1.8625
  86   2   -9.00  -87.00        1.8625
  87   2   -7.00  -87.00        1.8625
  88   2   -5.00  -87.00        1.8625
  89   2   -3.00  -87.00        1.8625
  90   2   -1.00  -87.00        1.8625
  91   2    1.00  -87.00        1.8625
  92   2    3.00  -87.00        1.8625
  93   2    5.00  -87.00        1.8625
  94   2    7.00  -87.00        1.8625
  95   2    9.00  -87.00        1.8625
  96   2   11.00  -87.00        1.8625
  97   2   13.00  -87.00        1.8625
  98   2   15.00  -87.00        1.8625
  99   2   17.00  -87.00        1.8625
 100   2   19.00  -87.00        1.8625
 101   2   21.00  -87.00        1.8625
 102   2   23.00  -87.00        1.8625
 103   2   25.00  -87.00        1.8625
 104   2   27.00  -87.00        1.8625
 105   2   29.00  -87.00        1.8625
 106   2   31.00  -87.00        1.8625
 107   2   33.00  -87.00        1.8625
 108   2   35.00  -87.00        1.8625
 109   2   37.00  -87.00        1.8625
 110   2   39.00  -87.00        1.8625
 111   2   41.00  -87.00        1.8625
