___November_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.7637
   2   1 -177.00  -89.00        0.7637
   3   1 -175.00  -89.00        0.7637
   4   1 -173.00  -89.00        0.7637
   5   1 -171.00  -89.00        0.7391
   6   1 -169.00  -89.00        0.7146
   7   1 -167.00  -89.00        0.7146
   8   1 -165.00  -89.00        0.7146
   9   1 -163.00  -89.00        0.7146
  10   1 -161.00  -89.00        0.6760
  11   1 -159.00  -89.00        0.6760
  12   1 -157.00  -89.00        0.6760
  13   1 -155.00  -89.00        0.6760
  14   1 -153.00  -89.00        0.6630
  15   1 -151.00  -89.00        0.6501
  16   1 -149.00  -89.00        0.6501
  17   1 -147.00  -89.00        0.6501
  18   1 -145.00  -89.00        0.6501
  19   1 -143.00  -89.00        0.6310
  20   1 -141.00  -89.00        0.6310
  21   1 -139.00  -89.00        0.6310
  22   1 -137.00  -89.00        0.6310
  23   1 -135.00  -89.00        0.6467
  24   1 -133.00  -89.00        0.6625
  25   1 -131.00  -89.00        0.6625
  26   1 -129.00  -89.00        0.6625
  27   1 -127.00  -89.00        0.6625
  28   1 -125.00  -89.00        0.7081
  29   1 -123.00  -89.00        0.7081
  30   1 -121.00  -89.00        0.7081
  31   1 -119.00  -89.00        0.7081
  32   1 -117.00  -89.00        0.7458
  33   1 -115.00  -89.00        0.7835
  34   1 -113.00  -89.00        0.7835
  35   1 -111.00  -89.00        0.7835
  36   1 -109.00  -89.00        0.7835
  37   1 -107.00  -89.00        0.8913
  38   1 -105.00  -89.00        0.8913
  39   1 -103.00  -89.00        0.8913
  40   1 -101.00  -89.00        0.8913
  41   1  -99.00  -89.00        0.8217
  42   1  -97.00  -89.00        0.7521
  43   1  -95.00  -89.00        0.7521
  44   1  -93.00  -89.00        0.7521
  45   1  -91.00  -89.00        0.7521
  46   1  -89.00  -89.00        0.8836
  47   1  -87.00  -89.00        0.8836
  48   1  -85.00  -89.00        0.8836
  49   1  -83.00  -89.00        0.8836
  50   1  -81.00  -89.00        0.9537
  51   1  -79.00  -89.00        1.0239
  52   1  -77.00  -89.00        1.0239
  53   1  -75.00  -89.00        1.0239
  54   1  -73.00  -89.00        1.0239
  55   1  -71.00  -89.00        1.1685
  56   1  -69.00  -89.00        1.1685
  57   1  -67.00  -89.00        1.1685
  58   1  -65.00  -89.00        1.1685
  59   1  -63.00  -89.00        1.2733
  60   1  -61.00  -89.00        1.3781
  61   1  -59.00  -89.00        1.3781
  62   1  -57.00  -89.00        1.3781
  63   1  -55.00  -89.00        1.3781
  64   1  -53.00  -89.00        1.5239
  65   1  -51.00  -89.00        1.5239
  66   1  -49.00  -89.00        1.5239
  67   1  -47.00  -89.00        1.5239
  68   1  -45.00  -89.00        1.5857
  69   1  -43.00  -89.00        1.6475
  70   1  -41.00  -89.00        1.6475
  71   1  -39.00  -89.00        1.6475
  72   1  -37.00  -89.00        1.6475
  73   1  -35.00  -89.00        1.6873
  74   1  -33.00  -89.00        1.6873
  75   1  -31.00  -89.00        1.6873
  76   1  -29.00  -89.00        1.6873
  77   1  -27.00  -89.00        1.6862
  78   1  -25.00  -89.00        1.6852
  79   1  -23.00  -89.00        1.6852
  80   1  -21.00  -89.00        1.6852
