""	Austria	Hungary	Belgium	Czechoslovakia
1891-1900	234081	181288	18167
1901-1910	668209	808511	41635
1911-1920	453649	442693	33746	3426
1921-1930	32868	30680	15846	102194
1931-1940	3563	7861	4817	14393
